Date/Time,Nits
Tue Dec 15 11:18:57 2020, 155.00
Tue Dec 15 11:18:58 2020, 155.00
Tue Dec 15 11:18:59 2020, 155.00
Tue Dec 15 11:19:00 2020, 155.00
Tue Dec 15 11:19:01 2020, 155.00
Tue Dec 15 11:19:02 2020, 155.00
Tue Dec 15 11:19:03 2020, 155.00
Tue Dec 15 11:19:04 2020, 155.00
Tue Dec 15 11:19:05 2020, 155.00
Tue Dec 15 11:19:06 2020, 155.00
Tue Dec 15 11:19:07 2020, 155.00
Tue Dec 15 11:19:08 2020, 155.00
Tue Dec 15 11:19:09 2020, 155.00
Tue Dec 15 11:19:10 2020, 155.00
Tue Dec 15 11:19:11 2020, 155.00
Tue Dec 15 11:19:12 2020, 155.00
Tue Dec 15 11:19:13 2020, 155.00
Tue Dec 15 11:19:14 2020, 155.00
Tue Dec 15 11:19:15 2020, 155.00
Tue Dec 15 11:19:16 2020, 155.00
Tue Dec 15 11:19:17 2020, 155.00
Tue Dec 15 11:19:18 2020, 155.00
Tue Dec 15 11:19:19 2020, 155.00
Tue Dec 15 11:19:20 2020, 155.00
Tue Dec 15 11:19:21 2020, 155.00
Tue Dec 15 11:19:22 2020, 155.00
Tue Dec 15 11:19:23 2020, 155.00
Tue Dec 15 11:19:24 2020, 155.00
Tue Dec 15 11:19:25 2020, 155.00
Tue Dec 15 11:19:26 2020, 155.00
Tue Dec 15 11:19:27 2020, 155.00
Tue Dec 15 11:19:28 2020, 155.00
Tue Dec 15 11:19:29 2020, 155.00
Tue Dec 15 11:19:30 2020, 155.00
Tue Dec 15 11:19:31 2020, 155.00
Tue Dec 15 11:19:32 2020, 155.00
Tue Dec 15 11:19:33 2020, 155.00
Tue Dec 15 11:19:34 2020, 155.00
Tue Dec 15 11:19:35 2020, 155.00
Tue Dec 15 11:19:36 2020, 155.00
Tue Dec 15 11:19:37 2020, 155.00
Tue Dec 15 11:19:38 2020, 155.00
Tue Dec 15 11:19:39 2020, 155.00
Tue Dec 15 11:19:40 2020, 155.00
Tue Dec 15 11:19:41 2020, 155.00
Tue Dec 15 11:19:42 2020, 155.00
Tue Dec 15 11:19:43 2020, 155.00
Tue Dec 15 11:19:44 2020, 155.00
Tue Dec 15 11:19:45 2020, 155.00
Tue Dec 15 11:19:46 2020, 155.00
Tue Dec 15 11:19:47 2020, 155.00
Tue Dec 15 11:19:48 2020, 155.00
Tue Dec 15 11:19:49 2020, 155.00
Tue Dec 15 11:19:50 2020, 155.00
